host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
1,1,1,2,40.77711,-73.9527,0,2,0,1.0,2.0,4,200,134,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.09,1,5,0,0,0,0,0,0
0,1,1,1,40.710879999999996,-73.95055,2,2,1,1.0,1.0,4,45,220,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1.79,1,4,0,0,0,0,0,0
1,1,1,2,40.77953,-73.98829,2,2,1,1.0,1.0,1,365,181,91.0,9.0,9.0,9.0,9.0,10.0,9.0,0,1.5,1,5,0,0,0,0,0,0
0,1,1,3,40.74559,-73.92313,2,1,1,1.0,2.0,30,270,29,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0.24,1,4,0,0,0,0,0,1
0,1,1,1,40.68306,-73.94659,0,4,0,1.0,1.0,2,30,337,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2.75,1,5,0,0,0,0,0,0
0,1,1,2,40.737559999999995,-74.00405,0,2,0,1.0,1.0,3,365,90,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.74,1,5,0,0,0,0,0,0
1,1,1,1,40.688340000000004,-73.97578,2,2,1,1.0,1.0,2,31,251,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.06,2,4,0,0,0,0,0,0
1,1,1,1,40.71627,-73.9587,0,2,0,1.0,1.0,1,1100,35,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.49,1,5,0,0,0,0,0,0
1,1,1,1,40.67868,-73.97306999999999,2,2,1,1.0,1.0,3,1125,51,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.42,1,5,0,0,0,0,0,0
1,1,1,1,40.6693,-73.98804,0,3,0,1.0,2.0,4,180,171,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.43,1,5,0,0,0,0,0,0
